Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
2015,Overall sanitation access rate,,,Percent,2020,48.4
2016,Overall sanitation access rate,,,Percent,2020,51.49
2017,Overall sanitation access rate,,,Percent,2020,53.97
2018,Overall sanitation access rate,,,Percent,2020,55.1
2019,Overall sanitation access rate,,,Percent,2020,60.4
2020,Overall sanitation access rate,,,Percent,2020,61.8
2015,Overall sanitation access rate,,Rural,Percent,2020,36.7
2016,Overall sanitation access rate,,Rural,Percent,2020,38.7
2017,Overall sanitation access rate,,Rural,Percent,2020,42.3
2018,Overall sanitation access rate,,Rural,Percent,2020,53.6
2019,Overall sanitation access rate,,Rural,Percent,2020,49.1
2020,Overall sanitation access rate,,Rural,Percent,2020,50.7
2015,Overall sanitation access rate,,Urban,Percent,2020,62.2
2016,Overall sanitation access rate,,Urban,Percent,2020,66.5
2017,Overall sanitation access rate,,Urban,Percent,2020,67.4
2018,Overall sanitation access rate,,Urban,Percent,2020,72.7
2019,Overall sanitation access rate,,Urban,Percent,2020,75.8
2020,Overall sanitation access rate,,Urban,Percent,2020,74.0
